DEPTH,CALI_P,COALF,DENS_P,DTC_P,GR_P,NEUT_P,NPHIHC,PEF_P,PERM,PERM_TRFM,PHIE,PHIT,RHOBHC,RT_P,SWE,SWT,VCLB,VCLD,VCLW,VDOLO,VGAS,VLIME,VMIN1,VMIN2,VOIL,VSAND,VSH_DN,VSHALE,VSILT,VWATER
815.4924,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
815.6448,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
815.7972,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
815.9496,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
816.102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
816.2544,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
816.4068,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
816.5592,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
816.7116,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
816.864,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
817.0164,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
817.1688,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
817.3212,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
817.4736,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
817.626,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
817.7784,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
817.9308,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
818.0832,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
818.2356,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
818.388,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
818.5404,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
818.6928,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
818.8452,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
818.9976,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
819.15,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
819.3024,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
819.4548,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
819.6072,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
819.7596,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
819.912,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
820.0644,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
820.2168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
820.3692,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
820.5216,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
820.674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
820.8264,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
820.9788,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
821.1312,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,9999
